#===========================================================================
# LEGEND
#===========================================================================
#
# Species 	-- Species name
# Theta_v	-- Characteristic vibrational temperature (K)
# degeneracy   -- degeneracy of the mode
#
# Characteristic Temperatures for Simple Harmonic Oscillator Model
#
# Species     Theta_v  degeneracy
#
C2      2.66870e+03   1
C2H     5.20100e+03   1
C2H     7.20000e+02   2
C2H     2.66100e+03   1
C2H2    4.85290e+03   1
C2H2    2.84000e+03   1
C2H2    4.72490e+03   1
C2H2    8.81830e+02   2
C2H2    1.05080e+03   2
C3      1.84500e+03   1
C3      7.78700e+02   2
C3      3.11760e+03   1
CF      1.88214e+03   1
CF2     1.76120e+03   1
CF2     9.56820e+02   1
CF2     1.60000e+03   1
CF3     1.56800e+03   1
CF3     1.00900e+03   1
CF3     1.81150e+03   2
CF3     7.36680e+02   2
CF4     1.30720e+03   1
CF4     6.25892e+02   2
CF4     1.84540e+03   3
CF4     9.08950e+02   3
CH      4.11290e+03   1
CH2     4.31650e+03   1
CH2     1.95972e+03   1
CH2     4.60432e+03   1
CH3     4.31650e+03   1
CH3     8.73370e+02   1
CH3     4.54960e+03   2
CH3     2.01150e+03   2
CH4     4.19660e+03   1
CH4     2.20620e+03   2
CH4     4.34450e+03   3
CH4     1.88600e+03   3
Cl2     8.05355e+02   1
CN      2.97610e+03   1
CN+     2.92520e+03   1
CO      3.12200e+03   1
CO+     3.18800e+03   1
CO2     1.91870e+03   1
CO2     9.59660e+02   2
CO2     3.38210e+03   1
F2      1.32020e+03   1
H2      6.33140e+03   1
H2+     3.34280e+03   1
H2O     5.26130e+03   1
H2O     2.29460e+03   1
H2O     5.40395e+03   1
HCl     4.30330e+03   1
HCN     3.01620e+03   1
HCN     1.02660e+03   2
HCN     4.76450e+03   1
N2      3.39500e+03   1
N2+     3.17580e+03   1
NCO     1.83600e+03   1
NCO     7.67100e+02   2
NCO     2.76800e+03   1
NH      4.72240e+03   1
NH3     4.78100e+03   1
NH3     1.47040e+03   1
NH3     4.95440e+03   2
NH3     2.34070e+03   2
NO      2.81700e+03   1
NO+     3.42100e+03   1
NO2     1.07900e+03   1
NO2     1.90000e+03   1
NO2     2.32700e+03   1
O2      2.23900e+03   1
O2+     2.74120e+03   1
OH      5.37820e+03   1
SiO     1.78640e+03   1
